bib_number,last_name,first_name,country
1,Boehm,Myrl,Costa Rica
2,Block,Daren,Finland
3,Ratke,Marie,British Indian Ocean Territory
4,Durgan,Whitney,Rwanda
5,Larson,Adolph,Svalbard and Jan Mayen
6,Crist,Amely,Switzerland
7,Shields,Burdette,Philippines
8,Spinka,Hank,Cayman Islands
9,Larkin,Cara,Holy See (Vatican City State)
10,Hills,Raegan,Croatia
11,Walter,Yvette,Martinique
12,Heathcote,Jaeden,Sao Tome and Principe
13,Koelpin,Manley,Netherlands
14,Cremin,Krystel,Indonesia
15,Tillman,Lizzie,Turkey
16,Stanton,Jeff,Gabon
17,Farrell,Andreanne,Botswana
18,Watsica,Rosario,Thailand
19,Koelpin,Spencer,Belgium
20,Cronin,Ahmad,French Southern Territories
21,Armstrong,Elena,Norfolk Island
22,Veum,Sigurd,Marshall Islands
23,Cruickshank,Myrna,Bulgaria
24,Harvey,Lazaro,Sint Maarten (Dutch part)
25,Marvin,Norwood,United Kingdom
